game_id,avg_temp,rain_sum,wind_speed_avg,snowfall_sum,is_indoor,rain_any,snow_any
1,67.28,0.0,4.1,0.0,False,False,False
2,65.84,0.1,16.2,0.0,False,True,False
3,60.26,0.1,19.6,0.0,True,True,False
4,76.46,0.5,5.9,0.0,False,True,False
5,70.88,1.0,10.7,0.0,False,True,False
6,73.75999999999999,0.0,7.0,0.0,True,False,False
7,63.32,0.0,11.2,0.0,False,False,False
8,79.52,3.1,7.7,0.0,False,True,False
9,73.75999999999999,2.8,4.8,0.0,False,True,False
10,77.72,1.2,4.9,0.0,True,True,False
11,57.56,0.0,15.7,0.0,False,False,False
12,81.68,0.3,3.4,0.0,True,True,False
13,76.64,12.0,8.4,0.0,False,True,False
14,62.6,0.0,12.4,0.0,True,False,False
15,67.1,0.0,10.4,0.0,False,False,False
16,70.7,0.0,5.4,0.0,False,False,False
17,71.06,0.0,6.4,0.0,True,False,False
18,71.24000000000001,0.3,21.0,0.0,False,True,False
19,70.7,0.0,10.6,0.0,False,False,False
20,71.96,3.6,19.7,0.0,False,True,False
21,70.7,0.0,14.8,0.0,True,False,False
22,80.06,1.4,11.5,0.0,False,True,False
23,66.56,16.2,18.3,0.0,True,True,False
24,69.62,0.0,6.3,0.0,False,False,False
25,69.08,0.0,6.9,0.0,False,False,False
26,63.14,0.0,6.9,0.0,False,False,False
27,57.02,0.1,7.0,0.0,False,True,False
28,52.34,0.1,10.1,0.0,False,True,False
29,68.9,0.0,6.1,0.0,True,False,False
30,68.54,0.0,6.5,0.0,False,False,False
31,73.04,7.2,14.5,0.0,False,True,False
32,78.8,11.0,10.6,0.0,False,True,False
33,63.68,8.6,25.7,0.0,False,True,False
34,63.68,13.9,24.8,0.0,True,True,False
35,62.78,6.2,16.8,0.0,True,True,False
36,82.4,0.9,12.2,0.0,False,True,False
37,55.4,2.2,14.5,0.0,True,True,False
38,69.25999999999999,10.7,18.5,0.0,False,True,False
39,79.7,0.0,7.3,0.0,False,False,False
40,76.28,17.3,11.8,0.0,True,True,False
41,65.48,14.0,26.7,0.0,False,True,False
42,80.96,0.0,9.8,0.0,True,False,False
43,62.24,0.0,5.0,0.0,False,False,False
44,58.82,0.0,7.1,0.0,False,False,False
45,64.04,0.0,8.0,0.0,False,False,False
46,73.22,0.0,12.3,0.0,True,False,False
47,68.18,0.0,9.1,0.0,True,False,False
48,53.78,8.0,15.3,0.0,False,True,False
49,69.8,0.0,3.4,0.0,False,False,False
50,71.06,0.0,13.2,0.0,False,False,False
51,61.52,7.4,11.0,0.0,True,True,False
52,66.02,0.0,7.9,0.0,False,False,False
53,62.42,4.8,13.7,0.0,False,True,False
54,79.88,0.0,8.9,0.0,True,False,False
55,66.38,0.0,9.4,0.0,True,False,False
56,61.7,0.0,9.2,0.0,False,False,False
57,58.46,0.0,8.7,0.0,False,False,False
58,62.06,3.9,11.3,0.0,False,True,False
59,68.72,0.0,20.6,0.0,False,False,False
60,65.12,0.0,8.4,0.0,False,False,False
61,59.540000000000006,0.0,14.1,0.0,False,False,False
62,59.18,0.0,18.2,0.0,False,False,False
63,56.66,0.0,5.9,0.0,True,False,False
64,62.78,0.2,19.9,0.0,True,True,False
65,52.7,0.0,5.7,0.0,False,False,False
66,73.75999999999999,0.0,8.1,0.0,True,False,False
67,57.02,0.0,4.6,0.0,True,False,False
68,57.74,14.2,17.7,0.0,False,True,False
69,71.24000000000001,0.6,7.0,0.0,True,True,False
70,60.440000000000005,0.0,6.1,0.0,False,False,False
71,69.98,0.0,9.5,0.0,False,False,False
72,58.28,0.0,6.0,0.0,False,False,False
