venue_name,venue_city,venue_state,venue_country,lat,lon,indoor,stadium_id
Acrisure Stadium,Pittsburgh,PA,USA,40.4467166,-80.0157199,FALSE,1
Huntington Bank Field,Cleveland,OH,USA,41.5060559,-81.6997118,FALSE,2
Ford Field,Detroit,MI,USA,42.3399567,-83.0456166,TRUE,3
Nissan Stadium,Nashville,TN,USA,36.1665236,-86.7713148,FALSE,4
GEHA Field at Arrowhead Stadium,Kansas City,MO,USA,39.0489309,-94.4839991,FALSE,5
The Dome at America's Center,St. Louis,MO,USA,38.6327852,-90.188551,TRUE,6
Gillette Stadium,Foxborough,MA,USA,42.0908879,-71.2641731,FALSE,7
Raymond James Stadium,Tampa,FL,USA,27.9759793,-82.5033545,FALSE,8
Bank of America Stadium,Charlotte,NC,USA,35.225774,-80.8528276,FALSE,9
NRG Stadium,Houston,TX,USA,29.6848581,-95.4108015,TRUE,10
Lambeau Field,Green Bay,WI,USA,44.5009705,-88.0619681,FALSE,11
State Farm Stadium,Glendale,AZ,USA,33.5277957,-112.2626719,TRUE,12
EverBank Stadium,Jacksonville,FL,USA,30.3239811,-81.6373046,FALSE,13
Giants Stadium,East Rutherford,NJ,USA,40.8128,-74.0742,TRUE,14
Northwest Stadium,Landover,MD,USA,38.9076875,-76.8644869,FALSE,15
Oakland Coliseum,Oakland,CA,USA,37.7516333,-122.2004749,FALSE,16
Georgia Dome,Atlanta,GA,USA,33.758,-84.401,TRUE,17
Soldier Field,Chicago,IL,USA,41.8624515,-87.6167151,FALSE,18
Paycor Stadium,Cincinnati,OH,USA,39.0954645,-84.5160488,FALSE,19
RCA Dome,Indianapolis,IN,USA,39.7601,-86.1639,TRUE,20
Dolphin Stadium,Miami Gardens,FL,USA,25.9579032,-80.2388497,FALSE,21
Metrodome,Minneapolis,MN,USA,44.9714321,-93.2571774,TRUE,22
Lincoln Financial Field,Philadelphia,PA,USA,39.9009099,-75.1674892,FALSE,23
M&T Bank Stadium,Baltimore,MD,USA,39.2779734,-76.6226651,FALSE,24
Monster Park,San Francisco,CA,USA,37.7786,-122.3893,FALSE,25
Lumen Field,Seattle,WA,USA,47.5953459,-122.3316443,FALSE,26
Invesco Field,Denver,CO,USA,39.743952,-105.0192228,FALSE,27
SDCCU Stadium,San Diego,CA,USA,32.7831,-117.1195,FALSE,28
Texas Stadium,Irving,TX,USA,32.8387,-96.9119,FALSE,29
Highmark Stadium,Orchard Park,NY,USA,42.7737334,-78.7868798,FALSE,30
Caesars Superdome,New Orleans,LA,USA,29.9510489,-90.0823076,TRUE,31
Empower Field at Mile High,Denver,CO,USA,39.743952,-105.0192228,FALSE,32
Hard Rock Stadium,Miami Gardens,FL,USA,25.9579032,-80.2388497,FALSE,33
Candlestick Park,San Francisco,CA,USA,37.7171914,-122.3804216,FALSE,34
Wembley Stadium,London,,England,51.5542489,-0.2847664,FALSE,35
Lucas Oil Stadium,Indianapolis,IN,USA,39.7590621,-86.1638376,TRUE,36
Mall of America Field,Minneapolis,MN,USA,44.9737,-93.2577,TRUE,37
Rogers Centre,Toronto,ON,Canada,43.6416599,-79.3891976,TRUE,38
AT&T Stadium,Arlington,TX,USA,32.7478502,-97.0928337,TRUE,39
MetLife Stadium,East Rutherford,NJ,USA,40.8135071,-74.0743442,FALSE,40
Huntington Bank Stadium,Minneapolis,MN,USA,44.9765397,-93.2240767,FALSE,41
Levi's Stadium,Santa Clara,CA,USA,37.4029867,-121.9696489,FALSE,42
Los Angeles Memorial Coliseum,Los Angeles,CA,USA,34.0139159,-118.2877996,FALSE,43
U.S. Bank Stadium,Minneapolis,MN,USA,44.9751097,-93.2593387,TRUE,44
Twickenham Stadium,London,,England,51.4560052,-0.3415047,FALSE,45
Estadio Azteca,Mexico City,,Mexico,19.3029794,-99.15047,FALSE,46
Dignity Health Sports Park,Carson,CA,USA,33.8622861,-118.2629822,FALSE,47
Mercedes-Benz Stadium,Atlanta,GA,USA,33.7554123,-84.4008493,TRUE,48
Tottenham Hotspur Stadium,London,,England,51.604157,-0.0662604,FALSE,49
SoFi Stadium,Inglewood,CA,USA,33.9534074,-118.3390098,FALSE,50
Allegiant Stadium,Las Vegas,NV,USA,36.0907359,-115.1833303,TRUE,51
Allianz Arena,Munich,,Germany,48.2187901,11.6236227,FALSE,52
Frankfurt Stadium,Frankfurt,,Germany,50.0686103,8.6454154,FALSE,53
Corinthians Arena,Sao Paulo,,Brazil,-23.5453327,-46.4743055,FALSE,54
Croke Park,Dublin,,Ireland,53.3603576,-6.2509812,FALSE,55
Olympic Stadium Berlin,Berlin,,Germany,52.5145846,13.2398144,FALSE,56
Santiago Bernab̩u,Madrid,,Spain,40.4523667,-3.6907254,TRUE,57
